Gremio,Nombre,Dirección,Teléfono,Email,Web,Rating,Opiniones,AbiertoAhora,HorarioHoy,GoogleMaps,Lat,Lon,Fuente
Fontaneros,Instalaciones Las Palmas,"C. de las Palmas, 66, 28938 Móstoles, Madrid",607 71 70 32,,,4.8,38.0,,,https://maps.google.com/?cid=6135692573089301694&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.317759099999996,-3.8678249,Google
Fontaneros,Fontanero Móstoles,"Calle Coronel de Palma, 1, 28934 Móstoles, Madrid",919 93 21 57,,https://sites.google.com/view/fontanero-mstoles/inicio,5.0,3.0,True,miércoles: Abierto 24 horas,https://maps.google.com/?cid=15677021255918159129&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.3189582,-3.8718514,Google
Fontaneros,Fontaneros urgentes 24 hs Madrid | Fontanería Reformas Rubio S.L.,"C. Puerto Guadarrama, 41, nave 20, 28935 Móstoles, Madrid",687 64 12 86,reformasrubiomadrid@gmail.com,https://www.reformasrubio.es/fontaneros-urgentes-en-madrid,4.1,57.0,True,miércoles: Abierto 24 horas,https://maps.google.com/?cid=16838314799648212012&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.351962,-3.8724490000000005,Google
Fontaneros,Tu Fonta Móstoles,"C. de la Libertad, 6, 28936 Móstoles, Madrid",919 93 08 71,,https://sites.google.com/view/tufontaneromstoles/inicio,4.3,6.0,True,miércoles: 8:00–20:30,https://maps.google.com/?cid=14186200665903832149&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.329204399999995,-3.8557534999999996,Google
Fontaneros,Desatascos Jonathan López,"C. de Toledo, 20, 28938 Móstoles, Madrid",622 58 86 91,,,5.0,82.0,True,miércoles: Abierto 24 horas,https://maps.google.com/?cid=1626262641085748252&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.3194951,-3.8617098,Google
Fontaneros,Instalaciones Y Proyectos Renagas SL,"C. de Simón Hernández, 25, 28937 Móstoles, Madrid",916 64 66 59,,,4.4,9.0,True,miércoles: 8:00–18:00,https://maps.google.com/?cid=9454854663866181987&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.3215357,-3.8601619000000005,Google
Fontaneros,FONTASER,"Urbanizacion Nuevo Versalles, 32, 28942 Fuenlabrada, Madrid",639 28 97 48,,http://fontaserfontanerofuenlabrada.blogspot.com/,4.9,202.0,True,miércoles: 8:30–19:00,https://maps.google.com/?cid=8426030311808304000&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.2970332,-3.8314296000000003,Google
Fontaneros,Gómez-Limón Instalaciones,"C. Soria, 2, 28934 Móstoles, Madrid",699 49 15 40,,,5.0,1.0,True,miércoles: 9:00–18:00,https://maps.google.com/?cid=18109996846184605837&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.32064,-3.8732899999999995,Google
Fontaneros,Caldera y Confort S.L,"P.º de Arroyomolinos, 36, 28938 Móstoles, Madrid",916 64 06 14,,http://calderayconfort.com/,4.5,61.0,True,"miércoles: 9:00–13:30, 15:30–18:00",https://maps.google.com/?cid=5228964151576920084&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.3173569,-3.8697413000000003,Google
Fontaneros,Instalaciones Jargón,"C. Nazaret, 9, 28936 Móstoles, Madrid",635 43 72 25,info@instalacionesjargon.es,https://instalacionesjargon.es/,,,True,miércoles: 9:00–18:00,https://maps.google.com/?cid=14770960286868625318&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.3291968,-3.8536433000000003,Google
Fontaneros,Soluciones Fontanería y Albañilería - 24 Horas Urgencias Madrid,"C. Don Quijote, 9, 28922 Alcorcón, Madrid",686 74 34 82,,https://www.soluciones-de-fontaneria.es/,4.9,49.0,True,miércoles: Abierto 24 horas,https://maps.google.com/?cid=5735952574994086437&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.3409739,-3.8296235999999997,Google
Fontaneros,"Fontanería, Reformas y Ferretería KV","C. Huesca, 10, 28934 Móstoles, Madrid",916 14 48 75,,,3.2,18.0,True,"miércoles: 9:30–14:00, 17:00–20:00",https://maps.google.com/?cid=4365271451246210247&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.319397699999996,-3.8697632000000004,Google
Fontaneros,Fontaneros - reparaciones - instalaciones Torrientes,"C. de Santiago Ramón y Cajal, 139, 28939 Arroyomolinos, Madrid",916 41 89 74,reparacionestorrientessl@yahoo.es,http://www.instalaciones-fontaneria.com/,3.9,71.0,True,"miércoles: 9:00–14:00, 16:00–19:00",https://maps.google.com/?cid=17513677470848035615&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.2999529,-3.8964546999999996,Google
Fontaneros,"ITS Obras y Rehabilitaciones, SL","Calle Juan de la Cierva, 82, 28936 Móstoles, Madrid",916 14 54 29,info@itsrehabilitaciones.com,http://itsrehabilitaciones.com/,3.3,43.0,True,miércoles: 9:30–19:00,https://maps.google.com/?cid=12068168708119830325&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.321920399999996,-3.8456313,Google
Fontaneros,REAL IBERICA,"Av. de la Constitucion, 43, 28931 Móstoles, Madrid",,,,5.0,1.0,True,miércoles: 9:00–19:00,https://maps.google.com/?cid=7856374264689386712&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.3261989,-3.8618121,Google
Fontaneros,Josmar Bonache SL,"C. del Laurel, 18, 28935 Móstoles, Madrid",652 40 33 42,,,3.0,3.0,True,miércoles: Abierto 24 horas,https://maps.google.com/?cid=10318829304264383804&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.3047178,-3.9309307999999996,Google
Fontaneros,La Alameda,"C. Niza, 10, 28936 Móstoles, Madrid",694 23 45 25,,,4.0,1.0,True,miércoles: Abierto 24 horas,https://maps.google.com/?cid=10407698213354770715&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.3244616,-3.8484588000000004,Google
Fontaneros,Servi fontaneros,"C. del Nogal, 5, 28942 Fuenlabrada, Madrid",919 93 09 85,,https://servifontaneros.es/,4.9,57.0,True,miércoles: 8:00–20:00,https://maps.google.com/?cid=14771501347868216066&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.2940126,-3.8222078999999995,Google
Fontaneros,Fontanero Alcorcón,"Calle la Alameda, 30, 28922 Alcorcón, Madrid",919 93 19 73,,https://sites.google.com/view/fontaneroalcorcn/inicio,5.0,4.0,True,"miércoles: 8:00–14:30, 15:30–21:00",https://maps.google.com/?cid=16413175784625899945&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.343968499999995,-3.8304991,Google
Fontaneros,Fugas de Agua.Bos SL,"Cam. de Mostoles, 41, 2º A, 28935 Móstoles, Madrid",687 49 78 13,fugasdeaguabos@gmail.com,http://fugasdeaguabos.com/,4.2,5.0,True,miércoles: 8:00–20:30,https://maps.google.com/?cid=2468210453700985283&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,40.3501196,-3.8932279000000003,Google
